universe,runner,execution_timing,price_mode,start_date,end_date,cagr,sharpe,max_dd,volatility,avg_turnover_per_rebalance,peak_turnover_per_rebalance,turnover_sum,total_cost,tc_drag,slippage_drag,avg_cash_exposure,min_cash_exposure,max_target_gross,avg_target_gross,min_selected,n_rebalances,n_trades,variant,sleeve,trade_threshold,persistence_exit_rank,update_frequency,partial_rebalance,cost_bps,raw_signal_dates,controlled_signal_dates,passes_sharpe,passes_max_dd,passes_cagr,passes_gross,turnover_reduction_pct,passes_turnover,baseline_cost_sharpe,improves_vs_baseline_cost_sharpe,passes_10bps_candidate
sp500_dynamic,baseline_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17575060577235102,1.1424973066619966,-0.29441751665315274,0.15383021452001214,0.052372363941905274,1.6782734063526672,230.59551843620892,59202.43948822995,59202.43948822995,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_10bps,baseline,0.0,,daily,1.0,10.0,4607,4404,True,True,True,True,0.0005577289412687092,False,1.1424973066619966,True,False
sp500_dynamic,baseline_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.15369491706203053,0.9988417309383698,-0.29604530188942213,0.15387314356363607,0.052372363941905274,1.6782734063526672,230.59551843620892,116114.81230917807,116114.81230917807,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_25bps,baseline,0.0,,daily,1.0,25.0,4607,4404,False,True,False,True,0.0005577289412687092,False,0.9988417309383698,True,False
sp500_dynamic,baseline_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.11782380291012107,0.7646834639920925,-0.2987520632068572,0.1540817978396084,0.052372363941905274,1.6782734063526672,230.59551843620892,157834.38869049924,157834.38869049924,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_50bps,baseline,0.0,,daily,1.0,50.0,4607,4404,False,True,False,True,0.0005577289412687092,False,0.7646834639920925,True,False
sp500_dynamic,frequency_every_2_rebalances_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18329933873351445,1.1438046721244668,-0.33686889659237984,0.1602540566590448,0.7468459801094475,1.9399952995017806,89.62151761313369,26050.844982771698,26050.844982771698,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_10bps,frequency,0.0,,every_2_rebalances,1.0,10.0,120,120,True,True,True,True,0.6115642935889096,True,1.1424973066619966,True,True
sp500_dynamic,frequency_every_2_rebalances_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17461453347397793,1.08942689377195,-0.33686889659237984,0.1602810931804755,0.7468459801094475,1.9399952995017806,89.62151761313369,59175.42388065184,59175.42388065184,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_25bps,frequency,0.0,,every_2_rebalances,1.0,25.0,120,120,True,True,True,True,0.6115642935889096,True,0.9988417309383698,True,True
sp500_dynamic,frequency_every_2_rebalances_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.16025555464426855,0.998719942072149,-0.3368688965923795,0.16046095396049623,0.7468459801094475,1.9399952995017806,89.62151761313369,101104.7711727939,101104.7711727939,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_50bps,frequency,0.0,,every_2_rebalances,1.0,50.0,120,120,False,True,True,True,0.6115642935889096,True,0.7646834639920925,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1806205739093949,1.1474088690799937,-0.33778233975697836,0.1574160517464177,0.058043193363748184,1.6174324000221936,150.56404358556279,40549.87458516728,40549.87458516728,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_10bps,combo,0.005,40.0,daily,1.0,10.0,4607,2595,True,True,True,True,0.34742847267186194,True,1.1424973066619966,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.16611208158462354,1.0549675592860135,-0.33890615077410224,0.1574570517571609,0.058043193363748184,1.6174324000221936,150.56404358556279,86391.67387190799,86391.67387190799,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_25bps,combo,0.005,40.0,daily,1.0,25.0,4607,2595,True,True,True,True,0.34742847267186194,True,0.9988417309383698,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.14230743774469556,0.9028411545670436,-0.3407762333222115,0.15762178875523117,0.058043193363748184,1.6174324000221936,150.56404358556279,133354.02312253276,133354.02312253276,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_50bps,combo,0.005,40.0,daily,1.0,50.0,4607,2595,False,True,False,True,0.34742847267186194,True,0.7646834639920925,True,True
sp500_dynamic,combo_thr_50bps_persist_top30_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17718279963856065,1.127709678829456,-0.32546750481227815,0.15711738842436243,0.06078161899294751,1.5833907533016902,157.66751966770582,41515.127517679575,41515.127517679575,0.0,-0.13354405965815264,-0.42528487210014787,1.4252848721001479,1.1335440596581527,21,2594,7798,combo_thr_50bps_persist_top30_cost_10bps,combo,0.005,30.0,daily,1.0,10.0,4607,2595,True,True,True,True,0.31664073526875025,True,1.1424973066619966,False,True
sp500_dynamic,combo_thr_50bps_persist_top30_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.16203781748720725,1.031059337809057,-0.32670333314336253,0.15715663642747127,0.06078161899294751,1.5833907533016902,157.66751966770582,87846.53834523892,87846.53834523892,0.0,-0.13354405965815264,-0.42528487210014787,1.4252848721001479,1.1335440596581527,21,2594,7798,combo_thr_50bps_persist_top30_cost_25bps,combo,0.005,30.0,daily,1.0,25.0,4607,2595,True,True,True,True,0.31664073526875025,True,0.9988417309383698,True,True
sp500_dynamic,combo_thr_50bps_persist_top30_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.13720698329213232,0.8720996470930859,-0.32875972825260236,0.15732947920512938,0.06078161899294751,1.5833907533016902,157.66751966770582,134160.20788495944,134160.20788495944,0.0,-0.13354405965815264,-0.42528487210014787,1.4252848721001479,1.1335440596581527,21,2594,7798,combo_thr_50bps_persist_top30_cost_50bps,combo,0.005,30.0,daily,1.0,50.0,4607,2595,False,True,False,True,0.31664073526875025,True,0.7646834639920925,True,True
sp500_dynamic,combo_thr_25bps_persist_top40_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1781007188380217,1.1540845598271208,-0.322625415081496,0.1543220705289574,0.05064605132350209,1.6229262237276856,166.6761549056454,43168.75303242692,43168.75303242692,0.0,-0.1344743181940723,-0.4015306617058916,1.4015306617058916,1.1344743181940722,21,3291,13461,combo_thr_25bps_persist_top40_cost_10bps,combo,0.0025,40.0,daily,1.0,10.0,4607,3292,True,True,True,True,0.2775956969158614,True,1.1424973066619966,True,True
sp500_dynamic,combo_thr_25bps_persist_top40_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1620852188243842,1.050061052534364,-0.32387360820051225,0.15435789988894938,0.05064605132350209,1.6229262237276856,166.6761549056454,90473.06240370602,90473.06240370602,0.0,-0.1344743181940723,-0.4015306617058916,1.4015306617058916,1.1344743181940722,21,3291,13461,combo_thr_25bps_persist_top40_cost_25bps,combo,0.0025,40.0,daily,1.0,25.0,4607,3292,True,True,True,True,0.2775956969158614,True,0.9988417309383698,True,True
sp500_dynamic,combo_thr_25bps_persist_top40_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.13585555563616492,0.879222226286236,-0.3259502168432644,0.15451788134384165,0.05064605132350209,1.6229262237276856,166.6761549056454,136145.8519790019,136145.8519790019,0.0,-0.1344743181940723,-0.4015306617058916,1.4015306617058916,1.1344743181940722,21,3291,13461,combo_thr_25bps_persist_top40_cost_50bps,combo,0.0025,40.0,daily,1.0,50.0,4607,3292,False,True,False,True,0.2775956969158614,True,0.7646834639920925,True,True
sp500_dynamic,threshold_thr_50bps_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18161853113582027,1.16564279383054,-0.3156741530762541,0.15580976616256917,0.06693594731936552,1.6831489851688552,173.09635976787922,48304.351599403395,48304.351599403395,0.0,-0.1334090921779331,-0.42291891943037285,1.4229189194303729,1.1334090921779332,21,2586,8537,threshold_thr_50bps_cost_10bps,threshold,0.005,,daily,1.0,10.0,4607,2587,True,True,True,True,0.2497693793374114,True,1.1424973066619966,True,True
sp500_dynamic,threshold_thr_50bps_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.16493789074360454,1.0582741203234391,-0.31701239295375516,0.1558555459082707,0.06693594731936552,1.6831489851688552,173.09635976787922,100501.24849214479,100501.24849214479,0.0,-0.1334090921779331,-0.42291891943037285,1.4229189194303729,1.1334090921779332,21,2586,8537,threshold_thr_50bps_cost_25bps,threshold,0.005,,daily,1.0,25.0,4607,2587,True,True,True,True,0.2497693793374114,True,0.9988417309383698,True,True
sp500_dynamic,threshold_thr_50bps_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.13763262325152104,0.8818894388116367,-0.31923913071019716,0.15606562137424357,0.06693594731936552,1.6831489851688552,173.09635976787922,149462.0053505229,149462.0053505229,0.0,-0.1334090921779331,-0.42291891943037285,1.4229189194303729,1.1334090921779332,21,2586,8537,threshold_thr_50bps_cost_50bps,threshold,0.005,,daily,1.0,50.0,4607,2587,False,True,False,True,0.2497693793374114,True,0.7646834639920925,True,True
sp500_dynamic,partial_partial_50_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18069533429465912,1.1762738730633282,-0.28431237405647714,0.15361672007904137,0.037608336746747226,0.8368605100464042,173.1111740452775,47184.70463107346,47184.70463107346,0.0,-0.13850664278356056,-0.3730162410323772,1.3730162410323772,1.1385066427835606,22,4603,145887,partial_partial_50_cost_10bps,partial,0.0,,daily,0.5,10.0,4607,4604,True,True,True,True,0.24970517160628358,True,1.1424973066619966,True,True
sp500_dynamic,partial_partial_50_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1640351736110095,1.0677319715213847,-0.28565744471609666,0.15362954185710095,0.037608336746747226,0.8368605100464042,173.1111740452775,98085.17827750804,98085.17827750804,0.0,-0.13850664278356056,-0.3730162410323772,1.3730162410323772,1.1385066427835606,22,4603,145887,partial_partial_50_cost_25bps,partial,0.0,,daily,0.5,25.0,4607,4604,True,True,True,True,0.24970517160628358,True,0.9988417309383698,True,True
sp500_dynamic,partial_partial_50_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.13677974148511995,0.8899581322970639,-0.28789439246981186,0.1536923328427584,0.037608336746747226,0.8368605100464042,173.1111740452775,145661.76931712683,145661.76931712683,0.0,-0.13850664278356056,-0.3730162410323772,1.3730162410323772,1.1385066427835606,22,4603,145887,partial_partial_50_cost_50bps,partial,0.0,,daily,0.5,50.0,4607,4604,False,True,False,True,0.24970517160628358,True,0.7646834639920925,True,True
sp500_dynamic,combo_thr_25bps_persist_top30_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17462230176354399,1.1335828595266666,-0.3117499739206502,0.15404458553339315,0.0528524094606318,1.5900679311543542,173.88442712547862,43805.74327686595,43805.74327686595,0.0,-0.13468084391881419,-0.39788879408336975,1.3978887940833697,1.1346808439188143,21,3290,13823,combo_thr_25bps_persist_top30_cost_10bps,combo,0.0025,30.0,daily,1.0,10.0,4607,3291,True,True,True,True,0.2463537542855122,True,1.1424973066619966,False,True
sp500_dynamic,combo_thr_25bps_persist_top30_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.15796778407368306,1.025250529504207,-0.3130964739667449,0.15407725187918067,0.0528524094606318,1.5900679311543542,173.88442712547862,91165.43481531875,91165.43481531875,0.0,-0.13468084391881419,-0.39788879408336975,1.3978887940833697,1.1346808439188143,21,3290,13823,combo_thr_25bps_persist_top30_cost_25bps,combo,0.0025,30.0,daily,1.0,25.0,4607,3291,True,True,True,True,0.2463537542855122,True,0.9988417309383698,True,True
sp500_dynamic,combo_thr_25bps_persist_top30_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.13071187501043102,0.8474417577316163,-0.3153365369333997,0.15424290084585057,0.0528524094606318,1.5900679311543542,173.88442712547862,135700.75146750122,135700.75146750122,0.0,-0.13468084391881419,-0.39788879408336975,1.3978887940833697,1.1346808439188143,21,3290,13823,combo_thr_25bps_persist_top30_cost_50bps,combo,0.0025,30.0,daily,1.0,50.0,4607,3291,False,True,False,True,0.2463537542855122,True,0.7646834639920925,True,True
sp500_dynamic,threshold_thr_25bps_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17823531598021658,1.1589352787050382,-0.30166352812104036,0.15379229475124073,0.057646561511948205,1.6886428088743473,189.6571873743096,50599.214677526514,50599.214677526514,0.0,-0.13471967822832204,-0.39691298159894295,1.396912981598943,1.134719678228322,21,3290,14603,threshold_thr_25bps_cost_10bps,threshold,0.0025,,daily,1.0,10.0,4607,3291,True,True,True,True,0.17799178684199757,True,1.1424973066619966,True,True
sp500_dynamic,threshold_thr_25bps_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1600244382348477,1.0402552329014227,-0.30310936382246123,0.15383189930082478,0.057646561511948205,1.6886428088743473,189.6571873743096,103535.40438383538,103535.40438383538,0.0,-0.13471967822832204,-0.39691298159894295,1.396912981598943,1.134719678228322,21,3290,14603,threshold_thr_25bps_cost_25bps,threshold,0.0025,,daily,1.0,25.0,4607,3291,True,True,True,True,0.17799178684199757,True,0.9988417309383698,True,True
sp500_dynamic,threshold_thr_25bps_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.13027000388417576,0.845718128414057,-0.30551458882242655,0.1540347776728709,0.057646561511948205,1.6886428088743473,189.6571873743096,150095.4779414292,150095.4779414292,0.0,-0.13471967822832204,-0.39691298159894295,1.396912981598943,1.134719678228322,21,3290,14603,threshold_thr_25bps_cost_50bps,threshold,0.0025,,daily,1.0,50.0,4607,3291,False,True,False,True,0.17799178684199757,True,0.7646834639920925,True,True
